MICHELIN_NM,FCLTY_NM,RDNMADR_NM,AREA_NM,CTPRVN_ENG_NM,SIGNGU_ENGL_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,CTPRVN_SIMCH_CHNLNG_NM,SIGNGU_SIMCH_CHNLNG_NM,SIGNGU_TRACH_CHNLNG_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE,BASE_DE
더플레이트미쉐린,류니끄,서울특별시 강남구 강남대로 162길 40,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.021599,37.520715,www.ryunique.co.kr,02-546-9279,창작,"120,000 - 230,000?",2021-12-31
빕구르망,현우동,서울특별시 강남구 논현로 149길 53,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.024317,37.517052,,02-515-3622,우동,"8,000 - 14,000",2021-12-31
더플레이트미쉐린,미토우,"서울특별시 강남구 논현로 151길 17, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.026846,37.519984,,02-7286-9914,일식,"110,000 - 130,000",2021-12-31
더플레이트미쉐린,쿠시카와,서울특별시 강남구 논현로 24길 37,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.045692,37.482735,,02-579-0538,쿠시아게,"80,000 - 100,000",2021-12-31
1스타 미쉐린,에빗,서울특별시 강남구 도곡로 23길 33,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.038679,37.494392,www.restaurantevett.com,02-4231-1022,창작,"65,000 - 180,000",2021-12-31
더플레이트미쉐린,달식탁,"서울특별시 강남구 도산대로 15길 11, 지하 1층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.023793,37.519057,,02-511-9440,한식,"10,000 - 86,000?",2021-12-31
더플레이트미쉐린,하쿠시,서울특별시 강남구 도산대로 16길 6-10 지하 1층,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.023783,37.517228,,02-6953-0313,스시,"45,000 - 150,000",2021-12-31
3스타 미쉐린,가온,"서울특별시 강남구 도산대로 317, 호림아트센터 M층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.036348,37.522702,www.gaonkr.com,02-545-9845,한식,"280,000 - 300,000",2021-12-31
1스타 미쉐린,보트르메종,"서울특별시 강남구 도산대로 420, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.042055,37.52318,,02-549-3800,프렌치,"65,000 - 150,000",2021-12-31
더플레이트미쉐린,볼피노,서울특별시 강남구 도산대로 45길,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.035955,37.523338,,02-2249-1571,이탤리언,"46,000 - 131,000",2021-12-31
