,item_name,source,count
0,6 Pack Soft Drink,Coke,21
1,6 Pack Soft Drink,Diet Coke,24
2,6 Pack Soft Drink,Lemonade,2
3,6 Pack Soft Drink,Nestea,2
4,6 Pack Soft Drink,Sprite,5
5,Barbacoa Bowl,Fresh Tomato (Mild),2
6,Barbacoa Bowl,Fresh Tomato Salsa,17
7,Barbacoa Bowl,Fresh Tomato Salsa (Mild),4
8,Barbacoa Bowl,Guacamole,1
9,Barbacoa Bowl,Rice,1
10,Barbacoa Bowl,Roasted Chili Corn Salsa,10
11,Barbacoa Bowl,Roasted Chili Corn Salsa (Medium),1
12,Barbacoa Bowl,Tomatillo Green Chili Salsa,3
13,Barbacoa Bowl,Tomatillo Red Chili Salsa,18
14,Barbacoa Bowl,TomatilloGreen Chili Salsa (Medium),5
15,Barbacoa Bowl,TomatilloRed Chili Salsa (Hot),4
16,Barbacoa Burrito,Black Beans,1
17,Barbacoa Burrito,Fresh Tomato (Mild),2
18,Barbacoa Burrito,Fresh Tomato Salsa,15
19,Barbacoa Burrito,Fresh Tomato Salsa (Mild),3
20,Barbacoa Burrito,Roasted Chili Corn Salsa,21
21,Barbacoa Burrito,Roasted Chili Corn Salsa (Medium),5
22,Barbacoa Burrito,Tomatillo Green Chili Salsa,9
23,Barbacoa Burrito,Tomatillo Red Chili Salsa,23
24,Barbacoa Burrito,TomatilloGreen Chili Salsa (Medium),6
25,Barbacoa Burrito,TomatilloRed Chili Salsa (Hot),6
26,Barbacoa Crispy Tacos,Fresh Tomato Salsa,4
27,Barbacoa Crispy Tacos,Fresh Tomato Salsa (Mild),1
28,Barbacoa Crispy Tacos,Roasted Chili Corn Salsa,3
29,Barbacoa Crispy Tacos,Roasted Chili Corn Salsa (Medium),1
30,Barbacoa Crispy Tacos,Tomatillo Red Chili Salsa,1
31,Barbacoa Crispy Tacos,TomatilloRed Chili Salsa (Hot),1
32,Barbacoa Salad Bowl,Fresh Tomato Salsa,5
33,Barbacoa Salad Bowl,Roasted Chili Corn Salsa,2
34,Barbacoa Salad Bowl,Tomatillo Green Chili Salsa,2
35,Barbacoa Salad Bowl,Tomatillo Red Chili Salsa,1
36,Barbacoa Soft Tacos,Fresh Tomato Salsa,3
37,Barbacoa Soft Tacos,Fresh Tomato Salsa (Mild),1
38,Barbacoa Soft Tacos,Roasted Chili Corn Salsa,5
39,Barbacoa Soft Tacos,Tomatillo Green Chili Salsa,2
40,Barbacoa Soft Tacos,Tomatillo Red Chili Salsa,12
41,Barbacoa Soft Tacos,TomatilloRed Chili Salsa (Hot),2
42,Bottled Water,origin,162
43,Bowl,AdoboMarinated and Grilled Steak,1
44,Bowl,Braised Carnitas,1
45,Burrito,AdoboMarinated and Grilled Chicken,2
46,Burrito,Braised Barbacoa,2
47,Burrito,White Rice,2
48,Canned Soda,Coca Cola,26
49,Canned Soda,Diet Coke,15
50,Canned Soda,Diet Dr Pepper,13
51,Canned Soda,Dr Pepper,18
52,Canned Soda,Mountain Dew,15
53,Canned Soda,Sprite,17
54,Canned Soft Drink,Coke,102
55,Canned Soft Drink,Diet Coke,95
56,Canned Soft Drink,Lemonade,31
57,Canned Soft Drink,Nestea,18
58,Canned Soft Drink,Sprite,55
59,Carnitas Bowl,Fresh Tomato (Mild),3
60,Carnitas Bowl,Fresh Tomato Salsa,23
61,Carnitas Bowl,Fresh Tomato Salsa (Mild),6
62,Carnitas Bowl,Roasted Chili Corn Salsa,12
63,Carnitas Bowl,Roasted Chili Corn Salsa (Medium),7
64,Carnitas Bowl,Tomatillo Green Chili Salsa,6
65,Carnitas Bowl,Tomatillo Red Chili Salsa,3
66,Carnitas Bowl,TomatilloRed Chili Salsa (Hot),8
67,Carnitas Burrito,Fresh Tomato (Mild),3
68,Carnitas Burrito,Fresh Tomato Salsa,25
69,Carnitas Burrito,Fresh Tomato Salsa (Mild),6
70,Carnitas Burrito,Roasted Chili Corn Salsa,6
71,Carnitas Burrito,Roasted Chili Corn Salsa (Medium),1
72,Carnitas Burrito,Tomatillo Green Chili Salsa,9
73,Carnitas Burrito,Tomatillo Red Chili Salsa,5
74,Carnitas Burrito,TomatilloGreen Chili Salsa (Medium),1
75,Carnitas Burrito,TomatilloRed Chili Salsa (Hot),3
76,Carnitas Crispy Tacos,Fresh Tomato Salsa,2
77,Carnitas Crispy Tacos,Fresh Tomato Salsa (Mild),1
78,Carnitas Crispy Tacos,Roasted Chili Corn Salsa,1
79,Carnitas Crispy Tacos,Tomatillo Green Chili Salsa,1
80,Carnitas Crispy Tacos,TomatilloGreen Chili Salsa (Medium),1
81,Carnitas Crispy Tacos,TomatilloRed Chili Salsa (Hot),1
82,Carnitas Salad,Fresh Tomato Salsa (Mild),1
83,Carnitas Salad Bowl,Fresh Tomato Salsa,2
84,Carnitas Salad Bowl,Roasted Chili Corn Salsa,2
85,Carnitas Salad Bowl,Tomatillo Green Chili Salsa,2
86,Carnitas Soft Tacos,Fresh Tomato Salsa,8
